,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,haberman,1,BART,AUC,75,None,0.5481481481481482,0.5237037037037037,4.774781703948975,0.4444301128387451,0.3126681440000425,0.44442437000003565,,
0,classification,haberman,1,BART,AUC,100,None,0.5548148148148149,0.5237037037037037,6.14605188369751,0.596975564956665,0.23096935299997767,0.5968102620000195,,
0,classification,haberman,1,BART,AUC,300,None,0.5733333333333333,0.517037037037037,19.16726326942444,1.8349440097808838,0.6829551360000323,1.8342743659999883,,
0,classification,haberman,1,BART,AUC,500,None,0.5700000000000001,0.5237037037037037,32.01866674423218,3.07598876953125,1.2582388920000085,3.076002161999952,,
0,classification,haberman,2,BART,AUC,10,None,0.5725925925925925,0.5355555555555556,0.649320125579834,0.06021690368652344,0.04504510399999617,0.06021518599999354,,
0,classification,haberman,2,BART,AUC,25,None,0.5851851851851853,0.5355555555555556,1.5235495567321777,0.1602168083190918,0.02639674599998898,0.1602112730000158,,
0,classification,haberman,2,BART,AUC,50,None,0.6037037037037036,0.5607407407407408,3.0622498989105225,0.3061990737915039,0.15774862199998552,0.30620042300000705,,
0,classification,haberman,2,BART,AUC,75,None,0.6129629629629629,0.5355555555555556,4.680898427963257,0.4501359462738037,0.1451990589999923,0.4501314110000294,,
0,classification,haberman,2,BART,AUC,100,None,0.6188888888888888,0.5659259259259259,6.066952705383301,0.6192963123321533,0.22249320800000305,0.619285858000012,,
0,classification,haberman,2,BART,AUC,300,None,0.6162962962962963,0.5288888888888889,19.673031091690063,1.7716045379638672,0.8240960640000026,1.7715891390000138,,
0,classification,haberman,2,BART,AUC,500,None,0.6281481481481481,0.5659259259259259,32.0501868724823,3.009784460067749,1.282017427000028,3.0097075840000116,,
0,classification,haberman,3,BART,AUC,10,None,0.5396296296296297,0.5185185185185186,0.6529505252838135,0.059847354888916016,0.04419770200001949,0.0598481459999789,,
0,classification,haberman,3,BART,AUC,25,None,0.5581481481481482,0.5422222222222223,1.5153765678405762,0.16497492790222168,0.02616553699999713,0.16498020399995994,,
0,classification,haberman,3,BART,AUC,50,None,0.607037037037037,0.5792592592592594,2.904534101486206,0.31067872047424316,0.04548206099997287,0.31066369500001656,,
0,classification,haberman,3,BART,AUC,75,None,0.5885185185185186,0.5977777777777777,4.662810564041138,0.4532954692840576,0.2147210589999986,0.4532973319999769,,
0,classification,haberman,3,BART,AUC,100,None,0.6003703703703703,0.5977777777777777,6.125732421875,0.5896835327148438,0.17006456500001832,0.589690179999991,,
0,classification,haberman,3,BART,AUC,300,None,0.6129629629629629,0.5977777777777777,20.304425477981567,2.074374198913574,0.8919790899999498,2.0742973320000146,,
0,classification,haberman,3,BART,AUC,500,None,0.6129629629629629,0.5911111111111111,32.27296018600464,2.9705023765563965,1.2120163260000254,2.9705176140000162,,
0,classification,haberman,4,BART,AUC,10,None,0.5059259259259259,0.4866666666666667,0.686556339263916,0.058641672134399414,0.050387641000043004,0.05864263600000186,,
0,classification,haberman,4,BART,AUC,25,None,0.548888888888889,0.5222222222222223,1.556253433227539,0.15007758140563965,0.026832355000010466,0.15009873000002472,,
0,classification,haberman,4,BART,AUC,50,None,0.5766666666666667,0.517037037037037,3.2039976119995117,0.28984761238098145,0.18582072899999957,0.2898401789999525,,
0,classification,haberman,4,BART,AUC,75,None,0.5674074074074074,0.5474074074074075,4.710817575454712,0.45018458366394043,0.1559058919999643,0.4501732119999815,,
0,classification,haberman,4,BART,AUC,100,None,0.5700000000000001,0.5592592592592593,6.054135799407959,0.6015284061431885,0.27460464399996454,0.601496773000008,,
0,classification,haberman,4,BART,AUC,300,None,0.585925925925926,0.5340740740740741,19.289454221725464,1.750579595565796,0.6363456010000164,1.7505962129999943,,
0,classification,haberman,4,BART,AUC,500,None,0.5766666666666667,0.5340740740740741,31.742199897766113,2.929246664047241,1.2062439250000239,2.9292598819999967,,
0,classification,haberman,5,BART,AUC,10,None,0.5337037037037037,0.5607407407407408,0.6730575561523438,0.05842757225036621,0.03462342900002113,0.05842828599998029,,
0,classification,haberman,5,BART,AUC,25,None,0.5581481481481482,0.5792592592592594,1.4946496486663818,0.16057491302490234,0.025081646000046476,0.16057139399998732,,
